Tweet_count,Username,Location,Created At,Likes,Text
3832,SportsIndiaShow,"Mumbai, India",Mon Nov 25 07:05:18 +0000 2024,7,"Jos Buttler signed by Gujarat Titans for Rs. 15.75 crore in IPL 2025 auction !

#JosButtler #IPLMegaAuction #IPL #cricket #t20cricket #bcci #ICC #ShubmanGill #GujaratTitans https://t.co/ymjMfjKian"
3833,Colombo Strikers,Sri Lanka,Fri Nov 29 07:48:26 +0000 2024,6,"Indian T20 League, meet our Striker force! 🔥 @a_m_g_50 

#Strikers #IPL #AllahGhazanfar #GlennPhillips  #IndianPremierLeague #T20 #GujaratTitans #MumbaiIndians https://t.co/V9A206xQFy"
3834,Gujarat Titans Fanpage,"Rajkot, India",Thu Nov 28 05:16:07 +0000 2024,20,"Gill back to work 
#GujaratTitans #IPLAuction2025 #IPLAuction https://t.co/5WhNZfaXZj"
3835,Hikmat Hassan,Kabul Afghanistan ,Mon Nov 25 16:57:51 +0000 2024,4,"Karim Janat Joins Gujarat Titans! 

He has been picked by Gujarat Titans in the IPL for the first time!

 A proud moment for Afghanistan cricket.

 #IPLAuction #GujaratTitans https://t.co/E5vsO6j3lM"
3836,Republic Sport Fit (R. Sport Fit),"Mumbai, India",Wed Nov 13 10:06:33 +0000 2024,0,"Gujarat Titans Bring In Parthiv Patel Before IPL 2025, Appoint Him As Batting &amp; Assistant Coach

#GujaratTitans #IPL2025 #GT #Titans #ParthivPatel #Cricket #IPL 

https://t.co/Lh3vnGdX8w"
3837,Rashid Khan,Afghanistan,Sun Apr 09 14:36:43 +0000 2023,34317,"Sport teaches us to always believe in yourself, today was an example of that! 

Disheartned with the result but we will bounce back 💪

#AavaDe #GujaratTitans #TATAIPL2023 #TATAIPL https://t.co/l0k6rMPM7N"
3838,GT Nation,,Tue Nov 26 03:03:09 +0000 2024,13,"Titans Assembled For IPL 2025! 💙

#GujaratTitans #AavaDe #IPLAuction2025 #IPL2025 #IPLAuction #TitansFAM https://t.co/CalB7O0Qip"
3839,KreedOn,"Pune, India",Wed Dec 11 12:30:24 +0000 2024,0,"🏏 Did Gujarat Titans miss out by not picking Sarfaraz Khan for IPL 2025? 🤔 Could his consistency have been the game-changer? 

👇Read the full story!
https://t.co/fDQX85pBFH

#kreedon #sarfarazkhan #gujarattitans #ipl2025"
3840,Naji 𝕏,Tamil Nadu ,Tue Nov 26 06:04:52 +0000 2024,196,"Our Titans of 2025. 💙

- We're ready for the IPL 2025, Gujarat Titans.🔥

#ShubmanGill | #GujaratTitans | #AavaDe | https://t.co/rxrUFmREN4"
3841,Arnav,,Mon Dec 02 14:36:31 +0000 2024,8,"Our Next IPL squad analysis is out on Off the Mark!
This time it is Gujarat Titans💙, with that crazy opening pair of Buttler-Gill🦁

Do like, share and subscribe and stay tuned for more videos!!

link: https://t.co/9umDKGVKuw

#GujaratTitans #IPL2025 #ShubmanGill #Siraj #Buttler https://t.co/7Ys0CddPLe"
3842,ViralVista,"Toronto, Ontario",Thu Nov 28 13:10:58 +0000 2024,68,"GT fans in IPL 2025
when Buttler and Gill score centuries,
DSP Siraj arrest a few batters of the opposition,
Rashid and Tewatia chased down the score in the last overs😂 #GT #IPL #Shubmangill #Buttler #GujaratTitans 
https://t.co/ehczMcyr0A"
3843,The World Tribune,Earth 🌎,Mon Dec 09 05:36:18 +0000 2024,2,"🔴This senior officer, Sanjiv Bhatt has finally got bail- He has been in jail for more than 6 years in a false case because he was a witness to Modi ordering the mass killing of Muslims in 2002 in Gujarat.
@ashoswai
#modi #SanjivBhatt #gujarattitans  #INDvsAUS #Syria #AbuDhabiGP https://t.co/9FhpuiNeBg"
3844,Hyderabad Post,"Hyderabad, India",Tue Dec 03 18:51:40 +0000 2024,0,"“I loved bowling to #Marnus. He defends and tries to show that he is #confident. That is not really confidence.”
#IPL2025 #MohammedSiraj #DSP #RCB #GujaratTitans
#sunrisershyderabad #royalchallengersbangalore #Gujarat #Titans #SRH
#MarnusLabuschagne https://t.co/TuqBgjgLoP"
3845,Cricbuzz,,Sat Nov 30 08:36:08 +0000 2024,12,"Have #GujaratTitans managed to assemble another title winning side?

How has the bowling unit shaped up without #MohammedShami?

@bhogleharsha &amp; @joybhattacharj analyse, on #CricbuzzLive

#IPL2025Auction https://t.co/qHQUX3Jph7"
3846,CBMCRICKET,,Mon Dec 09 03:24:28 +0000 2024,3,"Match Winning Century From Sherfane Rutherford &amp; His Maiden ODI century 💯🔥

 #BANvsWI #BANvWI #gujarattitans #CricketTwitter https://t.co/tWW4KrBQB2"
3847,Star Sports,India,Sun Nov 24 15:47:39 +0000 2024,303,"Jos Buttler is ready for 𝘫𝘢𝘭𝘴𝘢 at @GujaratTitans! 😁✌

📺 #IPLAuctionOnJioStar 👉 LIVE NOW on Star Sports Network &amp; JioCinema! https://t.co/W0vlaHiAQs"
3848,Sports Today,"Noida, India",Tue Nov 26 08:46:21 +0000 2024,0,"Check #GujaratTitans' #IPL2025 squad
https://t.co/TOPKAzF78x https://t.co/Qf7prFbzwT"
3849,Bhaskar Live,"Bhopal, India",Wed Dec 11 11:30:00 +0000 2024,0,"#SaiSudharsan thanks BCCI, Gujarat Titans after successful surgery
.
.
#BCCI #IPL2025 #gujarattitans #SMAT #Prabhas #Pushpa2TheRule #Pushpa2 #NikitaSinghania #JusticeForAtulSubhash 
https://t.co/uSaWo3OQ8G https://t.co/oHYXhX1RS5"
3850,LILESH,,Tue Nov 26 12:25:47 +0000 2024,24,"Jos Butler Smashed 30(16) in Abu Dhabi T10 Today!! 
#IPLAuction2025 #GujaratTitans #ShubmanGill #josbuttler https://t.co/jh4Q1Zpmqn"
3851,Star Sports,India,Sun Nov 24 11:55:13 +0000 2024,93,"𝘚𝘪𝘶𝘶𝘶 𝘷𝘢𝘢𝘵 𝘤𝘩𝘩𝘦! For INR 12.25 Cr, pacer #MohammedSiraj joins #GujaratTitans! 😁🔥

📺 #IPLAuctionOnJioStar 👉 LIVE NOW on Star Sports Network &amp; JioCinema! https://t.co/0vGaRN7BYs"
3852,शुभेंदु पांडेय,India ,Sun Nov 24 10:56:39 +0000 2024,16,Gujarat grabs a gem👍🏻Jos Buttler joins the Titans ✅ a game-changing buy 🏏🔥 #JosButtler #GujaratTitans #IPLAuction2024 https://t.co/bhGa9RGvWQ
3853,Cricadium CRICKET,Mainly at Stadium,Mon Nov 25 16:08:11 +0000 2024,5,"Glenn Phillips joins the Gujarat Titans! 💥 

Secured for ₹2.00 Cr at the #IPLAuction2025, the dynamic Kiwi all-rounder is ready to power #GT this season! 

#GlennPhillips #IPL2025 #IPLAuction #IPL2025Auction #GujaratTitans https://t.co/8pxC6N5SEG"
3854,Cricbuzz,,Sun Nov 24 20:30:00 +0000 2024,20,"'#GujaratTitans look solid with #Buttler &amp; #Siraj'

@bhogleharsha &amp; @joybhattacharj discuss, on #CricbuzzLive

#IPLAuction https://t.co/p2RrOWUdVI"
3855,Ntv Sports,,Tue Nov 26 12:45:06 +0000 2024,2,"Gujarat Titans బలం  &amp; బలహీనత PLAYING XI.

#GujaratTitans  #IPL2025 #IPL2025Auctions #NTVSports https://t.co/n9zAqyJ1d1"
3856,WION Sports,New Delhi,Wed Nov 27 07:33:54 +0000 2024,0,"Gujarat Titans coach Ashish Nehra explains Mohammed Shami's exit, says 'he was part of...'

#IPL2025 #GujaratTitans 

READ: https://t.co/VOF6aI15S2

https://t.co/VOF6aI15S2"
3857,GT Nation,,Mon Nov 25 11:31:20 +0000 2024,11,"Gerald Coetzee Now a Titans! 🫅🏻

#GTNation, welcome another Titans to the squad. 👏🏻

#AavaDe #IPLAuction #GT #GujaratTitans #IPLAuction2025 #IPL2025 #Coetzee https://t.co/lpuW4tOoIb"
3858,Star Sports,India,Sun Nov 24 12:34:57 +0000 2024,92,"The moment that sealed the deal - #JosButtler joins #GujaratTitans for INR 15.75 Cr! 🔨

Get ready for Jos to boss GT’s batting lineup! 😍

📺 #IPLAuctionOnJioStar 👉 LIVE NOW on Star Sports Network &amp; JioCinema! https://t.co/muMPBR5eAi"
3859,CBMCRICKET,,Wed Nov 27 02:48:38 +0000 2024,3,"#GujaratTitans Squad for the #IPL2025 

#IPLAuction2025 #IPLAuction 

@IPL @gujarat_titans https://t.co/tvx1PTWKH7"
3860,JassPreet,,Tue Nov 26 06:44:13 +0000 2024,20,"Our Titans of 2025. 💙

- best of luck IPL SEASON 2025

#ShubmanGill | #GujaratTitans https://t.co/EmYjPOmFUB"
3861,InsideSport,"New Delhi, India",Thu Nov 28 17:15:49 +0000 2024,22,"Here's a breakdown of Shubman Gill's IPL 2025 salary 💸

#IPL2025 #ShubmanGill #GujaratTitans #CricketTwitter https://t.co/f1UeGd9UTF"
